customer_id,email,full_name,signup_date,account_status,loyalty_points
CUST0001,customer1@example.com,Customer 1,2024-05-18,active,528
CUST0002,customer2@example.com,Customer 2,2024-05-17,inactive,253
CUST0003,customer3@example.com,Customer 3,2024-04-28,active,3927
CUST0004,customer4@example.com,Customer 4,2024-03-10,active,253
CUST0005,customer5@example.com,Customer 5,2024-08-13,active,1357
CUST0006,customer6@example.com,Customer 6,2024-04-02,active,3755
CUST0007,customer7@example.com,Customer 7,2024-09-08,active,344
CUST0008,customer8@example.com,Customer 8,2024-07-19,active,1350
CUST0009,customer9@example.com,Customer 9,2024-07-03,inactive,2484
CUST0010,customer10@example.com,Customer 10,2024-11-08,active,1864
CUST0011,customer11@example.com,Customer 11,2024-06-20,active,3447
CUST0012,customer12@example.com,Customer 12,2024-09-01,active,487
CUST0013,customer13@example.com,Customer 13,2024-11-26,active,270
CUST0014,customer14@example.com,Customer 14,2024-04-20,active,4332
CUST0015,customer15@example.com,Customer 15,2024-02-27,active,388
CUST0016,customer16@example.com,Customer 16,2024-04-24,active,59
CUST0017,customer17@example.com,Customer 17,2024-11-03,active,1939
CUST0018,customer18@example.com,Customer 18,2024-02-13,active,3501
CUST0019,customer19@example.com,Customer 19,2024-10-03,active,3896
CUST0020,customer20@example.com,Customer 20,2024-06-21,active,4544
CUST0021,customer21@example.com,Customer 21,2024-02-27,active,997
CUST0022,customer22@example.com,Customer 22,2024-11-22,inactive,162
CUST0023,customer23@example.com,Customer 23,2024-05-23,active,324
CUST0024,customer24@example.com,Customer 24,2024-12-24,active,2493
CUST0025,customer25@example.com,Customer 25,2024-08-07,active,4501
CUST0026,customer26@example.com,Customer 26,2024-02-10,active,2873
CUST0027,customer27@example.com,Customer 27,2024-12-09,active,1543
CUST0028,customer28@example.com,Customer 28,2024-07-12,active,3561
CUST0029,customer29@example.com,Customer 29,2024-10-17,active,3996
CUST0030,customer30@example.com,Customer 30,2024-10-09,active,1175
CUST0031,customer31@example.com,Customer 31,2024-09-18,inactive,3965
CUST0032,customer32@example.com,Customer 32,2024-02-24,active,3322
CUST0033,customer33@example.com,Customer 33,2024-02-28,active,31
CUST0034,customer34@example.com,Customer 34,2024-02-11,active,612
CUST0035,customer35@example.com,Customer 35,2024-10-10,active,2206
CUST0036,customer36@example.com,Customer 36,2024-11-28,active,1285
CUST0037,customer37@example.com,Customer 37,2024-11-17,active,1322
CUST0038,customer38@example.com,Customer 38,2024-03-02,active,2655
CUST0039,customer39@example.com,Customer 39,2024-06-02,active,4088
CUST0040,customer40@example.com,Customer 40,2024-03-24,active,1859
CUST0041,customer41@example.com,Customer 41,2024-03-26,active,1545
CUST0042,customer42@example.com,Customer 42,2024-08-24,inactive,1902
CUST0043,customer43@example.com,Customer 43,2024-11-24,active,2209
CUST0044,customer44@example.com,Customer 44,2024-01-02,active,2136
CUST0045,customer45@example.com,Customer 45,2024-07-13,active,4564
CUST0046,customer46@example.com,Customer 46,2024-03-21,active,212
CUST0047,customer47@example.com,Customer 47,2024-10-25,active,448
CUST0048,customer48@example.com,Customer 48,2024-07-18,active,1558
CUST0049,customer49@example.com,Customer 49,2024-02-18,active,2957
CUST0050,customer50@example.com,Customer 50,2024-01-14,active,4934
