order_id,customer_id,order_date,total_amount,status,shipping_address
ORD00001,CUST0002,2024-03-15,522.52,delivered,584 Main St
ORD00002,CUST0030,2024-07-26,985.39,cancelled,35 Main St
ORD00003,CUST0033,2024-05-02,376.63,delivered,538 Main St
ORD00004,CUST0010,2024-05-19,724.34,cancelled,11 Main St
ORD00005,CUST0038,2024-03-14,253.45,pending,702 Main St
ORD00006,CUST0013,2024-06-17,652.72,delivered,175 Main St
ORD00007,CUST0017,2024-04-22,383.45,shipped,981 Main St
ORD00008,CUST0005,2024-06-04,586.16,shipped,604 Main St
ORD00009,CUST0005,2024-01-28,829.98,shipped,996 Main St
ORD00010,CUST0010,2024-07-18,436.03,shipped,157 Main St
ORD00011,CUST0027,2024-03-20,238.97,pending,914 Main St
ORD00012,CUST0030,2024-03-17,366.2,pending,928 Main St
ORD00013,CUST0017,2024-02-13,951.61,cancelled,212 Main St
ORD00014,CUST0003,2024-07-24,709.73,pending,37 Main St
ORD00015,CUST0044,2024-10-22,696.72,cancelled,626 Main St
ORD00016,CUST0012,2024-09-01,86.79,pending,124 Main St
ORD00017,CUST0042,2024-12-01,880.45,shipped,910 Main St
ORD00018,CUST0014,2024-08-21,915.65,delivered,295 Main St
ORD00019,CUST0037,2024-09-23,746.4,shipped,972 Main St
ORD00020,CUST0043,2024-04-24,140.66,cancelled,121 Main St
ORD00021,CUST0007,2024-05-19,15.06,pending,952 Main St
ORD00022,CUST0042,2024-08-19,90.12,shipped,500 Main St
ORD00023,CUST0023,2024-08-22,416.28,delivered,60 Main St
ORD00024,CUST0027,2024-07-19,674.31,delivered,71 Main St
ORD00025,CUST0029,2024-03-26,783.64,shipped,41 Main St
ORD00026,CUST0019,2024-09-27,751.37,cancelled,634 Main St
ORD00027,CUST0003,2024-05-20,690.19,shipped,78 Main St
ORD00028,CUST0036,2024-06-06,844.32,shipped,167 Main St
ORD00029,CUST0026,2024-01-25,336.9,pending,341 Main St
ORD00030,CUST0009,2024-04-10,909.33,pending,253 Main St
ORD00031,CUST0026,2024-05-08,794.78,shipped,90 Main St
ORD00032,CUST0026,2024-11-06,175.93,cancelled,982 Main St
ORD00033,CUST0013,2024-12-16,602.1,shipped,733 Main St
ORD00034,CUST0046,2024-05-28,224.25,shipped,771 Main St
ORD00035,CUST0045,2024-06-21,502.01,shipped,157 Main St
ORD00036,CUST0025,2024-06-09,106.63,shipped,838 Main St
ORD00037,CUST0010,2024-02-06,204.43,delivered,700 Main St
ORD00038,CUST0032,2024-01-09,360.14,cancelled,822 Main St
ORD00039,CUST0042,2024-08-21,605.76,shipped,69 Main St
ORD00040,CUST0006,2024-06-13,206.07,shipped,748 Main St
ORD00041,CUST0043,2024-01-28,392.5,cancelled,208 Main St
ORD00042,CUST0001,2024-04-11,445.13,pending,131 Main St
ORD00043,CUST0039,2024-09-06,54.65,shipped,545 Main St
ORD00044,CUST0004,2024-08-13,165.2,shipped,748 Main St
ORD00045,CUST0013,2024-06-17,558.18,cancelled,611 Main St
ORD00046,CUST0023,2024-09-10,874.68,delivered,182 Main St
ORD00047,CUST0049,2024-08-14,738.02,pending,588 Main St
ORD00048,CUST0015,2024-01-19,213.48,pending,710 Main St
ORD00049,CUST0036,2024-07-03,28.3,pending,128 Main St
ORD00050,CUST0001,2024-04-04,797.47,cancelled,533 Main St
ORD00051,CUST0006,2024-07-19,306.79,delivered,433 Main St
ORD00052,CUST0033,2024-10-15,36.05,cancelled,207 Main St
ORD00053,CUST0030,2024-09-22,315.72,shipped,322 Main St
ORD00054,CUST0032,2024-04-09,635.49,delivered,472 Main St
ORD00055,CUST0048,2024-03-27,395.53,pending,946 Main St
ORD00056,CUST0031,2024-07-23,939.87,shipped,140 Main St
ORD00057,CUST0030,2024-08-08,893.44,pending,785 Main St
ORD00058,CUST0018,2024-07-11,433.61,pending,201 Main St
ORD00059,CUST0014,2024-12-19,439.62,cancelled,990 Main St
ORD00060,CUST0042,2024-02-14,461.53,pending,2 Main St
ORD00061,CUST0010,2024-03-09,843.96,pending,267 Main St
ORD00062,CUST0011,2024-09-21,418.34,pending,88 Main St
ORD00063,CUST0035,2024-12-21,883.75,shipped,662 Main St
ORD00064,CUST0003,2024-08-24,148.21,delivered,675 Main St
ORD00065,CUST0025,2024-02-15,1008.66,pending,1 Main St
ORD00066,CUST0017,2024-09-06,570.16,delivered,875 Main St
ORD00067,CUST0030,2024-03-18,475.62,delivered,84 Main St
ORD00068,CUST0032,2024-03-14,209.23,pending,769 Main St
ORD00069,CUST0004,2024-06-10,361.25,delivered,698 Main St
ORD00070,CUST0049,2024-07-08,224.58,delivered,377 Main St
ORD00071,CUST0043,2024-02-19,28.41,pending,56 Main St
ORD00072,CUST0011,2024-05-22,626.9,cancelled,842 Main St
ORD00073,CUST0035,2024-02-15,813.91,cancelled,153 Main St
ORD00074,CUST0031,2024-08-14,698.52,shipped,39 Main St
ORD00075,CUST0007,2024-10-13,992.84,pending,274 Main St
ORD00076,CUST0032,2024-08-02,860.34,shipped,387 Main St
ORD00077,CUST0029,2024-01-12,464.18,pending,207 Main St
ORD00078,CUST0040,2024-08-18,28.41,delivered,362 Main St
ORD00079,CUST0009,2024-07-12,998.52,shipped,941 Main St
ORD00080,CUST0013,2024-03-19,406.61,cancelled,769 Main St
ORD00081,CUST0025,2024-10-12,870.68,delivered,750 Main St
ORD00082,CUST0018,2024-09-11,88.02,delivered,544 Main St
ORD00083,CUST0022,2024-12-27,783.04,cancelled,449 Main St
ORD00084,CUST0005,2024-12-03,722.57,delivered,225 Main St
ORD00085,CUST0015,2024-09-14,348.23,pending,357 Main St
ORD00086,CUST0047,2024-10-24,315.88,delivered,399 Main St
ORD00087,CUST0028,2024-04-16,387.44,shipped,769 Main St
ORD00088,CUST0002,2024-06-09,68.5,cancelled,183 Main St
ORD00089,CUST0040,2024-07-06,518.58,delivered,439 Main St
ORD00090,CUST0002,2024-07-11,894.48,shipped,803 Main St
ORD00091,CUST0034,2024-09-05,597.5,delivered,30 Main St
ORD00092,CUST0042,2024-12-13,84.96,delivered,237 Main St
ORD00093,CUST0014,2024-09-16,210.15,cancelled,105 Main St
ORD00094,CUST0048,2024-07-01,939.99,cancelled,227 Main St
ORD00095,CUST0026,2024-03-10,676.81,cancelled,159 Main St
ORD00096,CUST0040,2024-08-18,971.11,cancelled,822 Main St
ORD00097,CUST0006,2024-09-25,584.86,delivered,811 Main St
ORD00098,CUST0013,2024-06-07,130.17,cancelled,600 Main St
ORD00099,CUST0040,2024-06-27,201.59,pending,483 Main St
ORD00100,CUST0028,2024-02-22,999.11,pending,904 Main St
